cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
101331974127885,Georgeanna,D'Aulby,F,"6 Stuart Circle",Clearwater,FL,34620,27.9139,-82.7157,"Electrical Engineer","1946-04-03 00:00:00"
103644429587006,Davie,Chestnut,M,"02 Crest Line Trail",Visalia,CA,93291,36.3551,-119.301,"Marketing Assistant","1986-02-03 00:00:00"
119517748522380,Randall,"d' Eye",M,"415 Towne Center",Boise,ID,83727,43.4599,-116.244,"Registered Nurse","1988-05-15 00:00:00"
121937491260937,Shepherd,Dobble,M,"47668 Cottonwood Avenue","Las Vegas",NV,89105,36.086,-115.1471,"Compensation Analyst","1972-09-27 00:00:00"
126560327838225,Lib,Philpot,F,"07411 Harper Court",Erie,PA,16522,42.1827,-80.0649,"Human Resources Manager","1955-11-12 00:00:00"
139205022899295,Ginnifer,Dockree,F,"546 Havey Road",Chesapeake,VA,23324,36.8056,-76.2666,"Director of Sales","1984-11-27 00:00:00"
140852793755165,Field,Chaize,M,"25840 Pepper Wood Crossing",Raleigh,NC,27615,35.8887,-78.6393,"Executive Secretary","1988-06-03 00:00:00"
180036251237802,Melissa,James,F,"537 Bryant Mall","Salt Lick",KY,40371,38.104,-83.6316,"Psychologist, forensic","1956-07-19 14:30:00"
180094108369013,John,Holland,M,"630 Christina Harbor","Zephyr Cove",NV,89448,39.0204,-119.9114,"Geophysical data processor","1949-12-28 13:30:00"
195531153378922,Barbara,Salerg,F,"0234 Elmside Drive",Tampa,FL,33647,28.1147,-82.3678,"Nurse Practicioner","1986-07-04 00:00:00"
203322589723846,Lambert,Pickwell,M,"04158 Packers Drive",Montgomery,AL,36134,32.2334,-86.2085,"Tax Accountant","1946-05-17 00:00:00"
208909275965854,Giralda,Akeherst,F,"1 Miller Center",Newark,NJ,7104,40.7664,-74.1695,Actuary,"1980-06-17 00:00:00"
211506837624084,Didi,Drewes,F,"37863 Esch Lane",Washington,DC,20051,38.8933,-77.0146,"Analyst Programmer","1971-12-08 00:00:00"
211697450817614,Anneliese,Smithen,F,"2997 Oriole Trail","El Paso",TX,79911,31.8925,-106.5426,"Software Consultant","1959-10-30 00:00:00"
212015673482582,Cosimo,Berkery,M,"741 Main Drive",Minneapolis,MN,55436,44.9034,-93.374,"Civil Engineer","1977-11-09 00:00:00"
215406218152460,Gabey,Greber,F,"7461 Bayside Place",Washington,DC,20210,38.8933,-77.0146,"Office Assistant II","1947-08-13 00:00:00"
227240000994293,Cal,Costy,F,"149 Cambridge Hill",Sarasota,FL,34233,27.2866,-82.477,Professor,"1975-12-27 00:00:00"
227778752895950,Jerad,Rummer,M,"1 Golf Course Center",Palatine,IL,60078,41.8119,-87.6873,"Registered Nurse","1969-04-23 00:00:00"
25311209995662,Anselm,Hanbury-Brown,M,"599 Hoffman Alley","White Plains",NY,10633,41.119,-73.733,"Account Coordinator","1961-06-08 00:00:00"
260313020232917,Kerstin,Jodrellec,F,"3789 Banding Point","Shawnee Mission",KS,66205,39.0312,-94.6308,"Dental Hygienist","1955-12-31 00:00:00"
27325704193203,Corrie,Carrett,F,"9 Gina Terrace","Kansas City",MO,64149,38.8606,-94.4636,"Budget/Accounting Analyst IV","1958-02-21 00:00:00"
30021746099829,James,Rodriguez,M,"95514 Andrew Street","Elk Point",SD,57025,42.7382,-96.687,Chiropractor,"1953-07-28 14:30:00"
30157941709315,Maurice,Simon,M,"031 Jessica Harbor Suite 104",Caledonia,MN,55921,43.6221,-91.4837,"Hydrographic surveyor","1974-11-03 13:30:00"
30170394853324,Kevin,Martin,M,"40514 Diana Expressway Suite 789",Savannah,NY,13146,43.0934,-76.7565,"Scientist, physiological","1973-07-07 14:30:00"
30260722249657,Debra,Davis,F,"566 Reed Well",Canton,MI,48188,42.291,-83.465,"Teacher, special educational needs","1998-03-01 13:30:00"
30300776786251,John,Brown,M,"79481 Potter Ville Suite 885",Francitas,TX,77961,28.8652,-96.3618,"Engineer, civil (contracting)","1973-08-13 14:30:00"
30405027360515,Monica,Brown,F,"39422 Chloe Court","Myers Flat",CA,95554,40.2841,-123.7945,"Designer, fashion/clothing","1948-01-13 13:30:00"
318454195148308,Pavla,Wettern,F,"66 Clarendon Terrace",Stamford,CT,6905,41.0888,-73.5435,"Design Engineer","1946-10-31 00:00:00"
